driverId,constructorId,gridPosition,finalPosition,q1,q2,q3,constructorPosition
1,131,3,6,90000.0,89000.0,89000.0,4
1,131,2,2,86000.0,85000.0,84000.0,1
1,131,6,4,77000.0,76000.0,76000.0,4
1,131,1,1,93000.0,93000.0,92000.0,1
1,131,3,2,79000.0,78000.0,78000.0,3
1,131,2,2,73000.0,71000.0,72000.0,3
1,131,5,8,65000.0,65000.0,64000.0,2
1,131,7,3,89000.0,88000.0,87000.0,2
1,131,5,5,104000.0,103000.0,103000.0,3
1,1,6,4,75000.0,74000.0,74000.0,1
1,1,2,1,116000.0,106000.0,105000.0,2
1,131,2,4,83000.0,76000.0,73000.0,4
1,131,2,3,83000.0,87000.0,85000.0,3
1,131,5,4,72000.0,72000.0,71000.0,3
1,131,4,2,72000.0,72000.0,72000.0,2
1,131,1,1,71000.0,70000.0,70000.0,1
1,131,2,1,71000.0,71000.0,70000.0,1
1,131,1,1,90000.0,89000.0,88000.0,1
1,131,3,2,96000.0,95000.0,94000.0,3
1,131,1,1,98000.0,98000.0,98000.0,1
1,131,5,3,77000.0,76000.0,75000.0,4
1,131,2,2,100000.0,100000.0,100000.0,1
1,131,2,2,64000.0,64000.0,64000.0,2
1,131,4,4,64000.0,64000.0,64000.0,2
1,131,3,1,74000.0,74000.0,73000.0,1
1,1,4,2,97000.0,96000.0,96000.0,2
1,131,1,1,98000.0,96000.0,95000.0,1
1,131,1,1,84000.0,83000.0,83000.0,1
1,131,7,7,71000.0,71000.0,71000.0,2
1,131,2,15,101000.0,101000.0,101000.0,2
1,1,2,3,104000.0,104000.0,105000.0,1
1,1,1,12,78000.0,77000.0,78000.0,2
1,131,1,1,108000.0,108000.0,107000.0,1
1,131,1,2,72000.0,69000.0,68000.0,1
1,1,3,1,75000.0,75000.0,75000.0,2
1,1,1,3,97000.0,97000.0,96000.0,1
1,1,1,2,97000.0,96000.0,95000.0,2
1,131,2,1,86000.0,86000.0,86000.0,2
1,131,6,1,127000.0,112000.0,112000.0,1
1,1,2,2,98000.0,97000.0,99000.0,2
1,131,2,2,91000.0,90000.0,90000.0,2
1,131,3,3,95000.0,95000.0,95000.0,1
1,1,13,10,75000.0,75000.0,76000.0,3
1,1,4,1,80000.0,79000.0,81000.0,3
1,1,5,3,81000.0,80000.0,82000.0,3
1,1,3,2,86000.0,86000.0,87000.0,3
1,131,0,9,103000.0,102000.0,102000.0,4
2,2,6,4,93000.0,91000.0,93000.0,1
2,2,9,9,81000.0,80000.0,82000.0,2
2,2,9,5,87000.0,87000.0,88000.0,2
2,2,8,2,78000.0,77000.0,79000.0,2
2,2,5,2,85000.0,85000.0,87000.0,3
